tier	group	name	url
core	agent_editing	video-use	https://github.com/browser-use/video-use
study	agent_editing	OpenMontage	https://github.com/calesthio/OpenMontage
study	agent_editing	VideoAgent	https://github.com/HKUDS/VideoAgent
watch	agent_editing	buttercut	https://github.com/barefootford/buttercut
watch	agent_editing	claude-video-editor	https://github.com/assafkip/claude-video-editor
core	mcp_servers	kinocut	https://github.com/KyaniteLabs/mcp-video
study	mcp_servers	Claude-Code-Video-Toolkit	https://github.com/wilwaldon/Claude-Code-Video-Toolkit
core	transcription	faster-whisper	https://github.com/SYSTRAN/faster-whisper
core	transcription	whisperX	https://github.com/m-bain/whisperX
core	transcription	MOSS-Transcribe-Diarize	https://github.com/OpenMOSS/MOSS-Transcribe-Diarize
tool	transcription	stable-ts	https://github.com/jianfch/stable-ts
study	transcription	subsai	https://github.com/absadiki/subsai
tool	media_primitives	PySceneDetect	https://github.com/Breakthrough/PySceneDetect
tool	media_primitives	auto-editor	https://github.com/WyattBlue/auto-editor
watch	rendering	OpenCut	https://github.com/OpenCut-app/OpenCut
watch	rendering	remotion	https://github.com/remotion-dev/remotion
